date,year,month,month_name,category,turnover_m
2011-06-01,2011,6,Jun,"Cafes, restaurants and takeaway food services",2519.5
2011-07-01,2011,7,Jul,"Cafes, restaurants and takeaway food services",2701.9
2011-08-01,2011,8,Aug,"Cafes, restaurants and takeaway food services",2739.6
2011-09-01,2011,9,Sep,"Cafes, restaurants and takeaway food services",2744.3
2011-10-01,2011,10,Oct,"Cafes, restaurants and takeaway food services",2814.4
2011-11-01,2011,11,Nov,"Cafes, restaurants and takeaway food services",2784.2
2011-12-01,2011,12,Dec,"Cafes, restaurants and takeaway food services",3046.6
2012-01-01,2012,1,Jan,"Cafes, restaurants and takeaway food services",2729.5
2012-02-01,2012,2,Feb,"Cafes, restaurants and takeaway food services",2556.0
2012-03-01,2012,3,Mar,"Cafes, restaurants and takeaway food services",2839.3
2012-04-01,2012,4,Apr,"Cafes, restaurants and takeaway food services",2737.4
2012-05-01,2012,5,May,"Cafes, restaurants and takeaway food services",2836.7
