date,year,month,month_name,quarter,fy_year,fy_label
2019-10-01,2019,10,Oct,4,2019,FY19/20
2019-11-01,2019,11,Nov,4,2019,FY19/20
2019-12-01,2019,12,Dec,4,2019,FY19/20
2020-01-01,2020,1,Jan,1,2019,FY19/20
2020-02-01,2020,2,Feb,1,2019,FY19/20
2020-03-01,2020,3,Mar,1,2019,FY19/20
2020-04-01,2020,4,Apr,2,2019,FY19/20
2020-05-01,2020,5,May,2,2019,FY19/20
2020-06-01,2020,6,Jun,2,2019,FY19/20
2020-07-01,2020,7,Jul,3,2020,FY20/21
2020-08-01,2020,8,Aug,3,2020,FY20/21
2020-09-01,2020,9,Sep,3,2020,FY20/21
2020-10-01,2020,10,Oct,4,2020,FY20/21
2020-11-01,2020,11,Nov,4,2020,FY20/21
2020-12-01,2020,12,Dec,4,2020,FY20/21
2021-01-01,2021,1,Jan,1,2020,FY20/21
2021-02-01,2021,2,Feb,1,2020,FY20/21
2021-03-01,2021,3,Mar,1,2020,FY20/21
2021-04-01,2021,4,Apr,2,2020,FY20/21
2021-05-01,2021,5,May,2,2020,FY20/21
2021-06-01,2021,6,Jun,2,2020,FY20/21
2021-07-01,2021,7,Jul,3,2021,FY21/22
2021-08-01,2021,8,Aug,3,2021,FY21/22
2021-09-01,2021,9,Sep,3,2021,FY21/22
2021-10-01,2021,10,Oct,4,2021,FY21/22
2021-11-01,2021,11,Nov,4,2021,FY21/22
2021-12-01,2021,12,Dec,4,2021,FY21/22
2022-01-01,2022,1,Jan,1,2021,FY21/22
2022-02-01,2022,2,Feb,1,2021,FY21/22
2022-03-01,2022,3,Mar,1,2021,FY21/22
2022-04-01,2022,4,Apr,2,2021,FY21/22
2022-05-01,2022,5,May,2,2021,FY21/22
2022-06-01,2022,6,Jun,2,2021,FY21/22
2022-07-01,2022,7,Jul,3,2022,FY22/23
2022-08-01,2022,8,Aug,3,2022,FY22/23
2022-09-01,2022,9,Sep,3,2022,FY22/23
2022-10-01,2022,10,Oct,4,2022,FY22/23
2022-11-01,2022,11,Nov,4,2022,FY22/23
2022-12-01,2022,12,Dec,4,2022,FY22/23
2023-01-01,2023,1,Jan,1,2022,FY22/23
2023-02-01,2023,2,Feb,1,2022,FY22/23
2023-03-01,2023,3,Mar,1,2022,FY22/23
2023-04-01,2023,4,Apr,2,2022,FY22/23
2023-05-01,2023,5,May,2,2022,FY22/23
2023-06-01,2023,6,Jun,2,2022,FY22/23
2023-07-01,2023,7,Jul,3,2023,FY23/24
